,InAcc ID, 2020 total amount ,GSC Top3,GSC Top3 pct,GSC Recommendation Top3
3651,319900," 22,881 ",FID - GENERAL USE VINYL-BLACK,1,"('FIN - ALL MASTICS', 3404.459410799029)('FIC - 33 VINYL TAPE', 2584.896182304431)('FIL - 23 RUBBER TAPE', 2343.157289033962)"
2566,302482," 22,869 ","FJL - QTII,RUBBER, PORCELAIN TERMI",1,"('FJF - QSIII & QS-2000 SPLICES', 10975.029712471662)('FJM - QTIII RUBBER TERMINATIONS', 7161.294321756768)('FJI - SEPARABLE CONNECTORS', 4584.7032906637605)"
1435,284468," 22,776 ",FJM - QTIII RUBBER TERMINATIONS,1,"('FJF - QSIII & QS-2000 SPLICES', 10844.207775264313)('FJL - QTII,RUBBER, PORCELAIN TERMI', 7132.110374605716)('FJI - SEPARABLE CONNECTORS', 3255.3481123234756)"
2621,303008," 22,727 ",FID - GENERAL USE VINYL-BLACK,1,"('FIN - ALL MASTICS', 3381.6504092777295)('FIC - 33 VINYL TAPE', 2567.5780434047383)('FIL - 23 RUBBER TAPE', 2327.458738479742)"
212,117215," 22,695 ","FJL - QTII,RUBBER, PORCELAIN TERMI,FJM - QTIII RUBBER TERMINATIONS",1,"('FJF - QSIII & QS-2000 SPLICES', 10851.595950111594)('FJI - SEPARABLE CONNECTORS', 3945.4902161487016)('FJZ - MISC PRODUCT - POWER PROD', 2755.1202900896446)"
815,226958," 22,671 ","FJF - QSIII & QS-2000 SPLICES,FJL - QTII,RUBBER, PORCELAIN TERMI",1,"('FJM - QTIII RUBBER TERMINATIONS', 10356.229645295229)('FJI - SEPARABLE CONNECTORS', 5314.018817484244)('FJC - ENERGY RESINS', 3620.120820142019)"
2569,302559," 22,638 ","FJL - QTII,RUBBER, PORCELAIN TERMI",1,"('FJF - QSIII & QS-2000 SPLICES', 10863.951817102106)('FJM - QTIII RUBBER TERMINATIONS', 7088.815110107915)('FJI - SEPARABLE CONNECTORS', 4538.301667546321)"
2901,307752," 22,605 ",FJM - QTIII RUBBER TERMINATIONS,1,"('FJF - QSIII & QS-2000 SPLICES', 10762.599685486173)('FJL - QTII,RUBBER, PORCELAIN TERMI', 7078.437675242093)('FJI - SEPARABLE CONNECTORS', 3230.8499888537676)"
1589,288534," 22,523 ",FTM - POLYESTER FILM TAPES,1,"('FTB - COMPOSITE, ACETATE & PAPER', 9486.695962245398)('FTU - 92/1205 & OTH HI-TEMP', 7164.654017100367)('FTZ - 1/S10/S20 EPOXY TAPES', 6940.871105333587)"
1602,288658," 22,523 ",FTM - POLYESTER FILM TAPES,1,"('FTB - COMPOSITE, ACETATE & PAPER', 9486.695962245398)('FTU - 92/1205 & OTH HI-TEMP', 7164.654017100367)('FTZ - 1/S10/S20 EPOXY TAPES', 6940.871105333587)"
964,253490," 22,511 ",FTU - 92/1205 & OTH HI-TEMP,1,"('FTB - COMPOSITE, ACETATE & PAPER', 7540.256204499101)('FTM - POLYESTER FILM TAPES', 7160.762617266666)('FTZ - 1/S10/S20 EPOXY TAPES', 5700.66524520941)"
2413,300388," 22,511 ","FJF - QSIII & QS-2000 SPLICES,FJM - QTIII RUBBER TERMINATIONS",1,"('FJL - QTII,RUBBER, PORCELAIN TERMI', 10292.566576229325)('FJI - SEPARABLE CONNECTORS', 5085.213602767886)('FJC - ENERGY RESINS', 3396.2985202042355)"
3008,309316," 22,418 ",FJM - QTIII RUBBER TERMINATIONS,1,"('FJF - QSIII & QS-2000 SPLICES', 10673.736472370923)('FJL - QTII,RUBBER, PORCELAIN TERMI', 7019.993364941645)('FJI - SEPARABLE CONNECTORS', 3204.1739329292786)"
3430,317061," 22,341 ",FID - GENERAL USE VINYL-BLACK,1,"('FIN - ALL MASTICS', 3324.0932230193016)('FIC - 33 VINYL TAPE', 2523.876729019358)('FIL - 23 RUBBER TAPE', 2287.844360910744)"
1975,294637," 22,316 ",FJM - QTIII RUBBER TERMINATIONS,1,"('FJF - QSIII & QS-2000 SPLICES', 10625.269740807124)('FJL - QTII,RUBBER, PORCELAIN TERMI', 6988.117354616772)('FJI - SEPARABLE CONNECTORS', 3189.624591347445)"
